Group name,Group website,Company name,Company website,Company address,LBR garage code,Garage name,Garage address,TfL main network routes,TfL night routes,TfL school/mobility routes,Other routes,PVR,TfL garage code,Proportion of network
"Abellio","http://www.abellio.co.uk/","Abellio London Ltd.","","301 Camberwell New Road, London, SE5 0TF","QB","Battersea","Silverthorne Road, Battersea, London, SW8 3HE","3 49 156 159 211 344 414 452 C2 C3 ","N3 159 344 C2 ","","","209","QB","2.59%"
"Abellio","http://www.abellio.co.uk/","Abellio London Ltd.","","301 Camberwell New Road, London, SE5 0TF","BC","Beddington","Unit 10, Beddington Cross, Beddington Farm Road, Croydon, CR0 4XH","109 152 157 201 367 407 433 455 P13 S4 ","N109 ","931 ","","128","BC","1.59%"
"Abellio","http://www.abellio.co.uk/","Abellio London Ltd.","","301 Camberwell New Road, London, SE5 0TF","WL","Walworth","301 Camberwell New Road, London, SE5 0TF","172 188 343 345 381 415 484 C10 ","188 N343 345 N381 ","","","155","WL","1.92%"
"Abellio","http://www.abellio.co.uk/","Abellio Surrey Ltd.","","301 Camberwell New Road, London, SE5 0TF","BF","Byfleet","Unit 20A Wintersells Road, Byfleet, Surrey, KT14 7LF","","","","441 446 458 461 513 514 515 555 ","0","TG","0.00%"
"Abellio","http://www.abellio.co.uk/","Abellio West London Ltd.","","301 Camberwell New Road, London, SE5 0TF","TF","Fulwell","The Old Tram Depot, Stanley Road, Twickenham, Middlesex, TW2 5NP","117 235 290 481 490 H20 H25 H26 H28 K1 K3 R68 R70 ","","969 ","","128","TF","1.59%"
"Abellio","http://www.abellio.co.uk/","Abellio West London Ltd.","","301 Camberwell New Road, London, SE5 0TF","WS","Hayes","West London Coach Centre, North Hyde Gardens, Hayes, Middlesex, UB3 4QT","350 E1 U7 U9 ","","","","23","WS","0.29%"
"Arriva","http://www.arriva.co.uk/","Arriva East Herts &amp; Essex Ltd.","http://www.arrivabus.co.uk/south-east/","Fourth Avenue, Harlow, Essex, CM20 1DU","WE","Ware","Marsh Lane, Ware, Hertfordshire","","","","","0","WE","0.00%"
"Arriva","http://www.arriva.co.uk/","Arriva Kent &amp; Medway","http://www.arrivabus.co.uk/south-east/","Invicta House, Armstrong Road, Maidstone, Kent, ME15 6TY","NF","Northfleet","London Road, Northfleet, Kent, DA11","","","","477 ","0","NF","0.00%"
"Arriva","http://www.arriva.co.uk/","Arriva Kent Thameside","http://www.arrivabus.co.uk/south-east/","Invicta House, Armstrong Road, Maidstone, Kent, ME15 6TY","HA","Harlow","Fourth Avenue, Harlow, Essex","","","","724 ","0","HA","0.00%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","AE","Ash Grove","Mare Street, South Hackney, London, E8 4RH","78 106 254 ","","","","69","AE","0.86%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","DX","Barking","638 Ripple Road, Barking, IG11 0ST","128 150 173 325 368 ","128 ","647 673 678 ","","71","DX","0.88%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","CT","Clapton","15 Bohemia Place, Mare Street, London, E8 1DU","38 242 393 ","N38 242 ","","","98","CT","1.22%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","DT","Dartford","Central Road, Dartford, Kent, DA1","160 229 428 469 492 B12 B13 B15 ","","","","75","DT","0.93%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","EC","Edmonton","Unit 1E, Towpath Road, Stonehill Business Park, London E4","123 382 397 W6 W11 ","","","","41","EC","0.51%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","E","Enfield","Southbury Road, Ponders End, Middlesex, EN3 4HX","121 279 313 317 318 349 377 379 W6 ","N279 ","313 ","","104","E","1.29%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","GY","Grays","Unit 7, Europa Park, London Road, Grays, Essex, RM20 4DB","66 346 347 370 375 ","","","","27","GY","0.33%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","HE","Heathrow","Coach Travel Centre, Bedfont Road, Stanwell, Middx","E10 ","","","","8","HE","0.10%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","AD","Palmers Green","Regents Avenue, Palmers Green, London, N13 5UR","102 141 329 ","102 ","629 ","","61","AD","0.76%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","SF","Stamford Hill","Rookwood Road, London N16 6SS","67 73 253 ","N73 N253 ","","","86","SF","1.07%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","AR","Tottenham","Philip Lane, Tottenham, London, N15 4JB","41 67 76 123 149 230 243 341 ","N41 76 149 243 341 ","","","162","AR","2.01%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","GR","Watford (Garston)","Marshwood House, 934 St Albans Road, Watford, Hertfordshire, WD25 9NN","142 258 268 288 303 305 340 H2 H3 H18 H19 ","","631 642 ","8 ","74","GR","0.92%"
"Arriva","http://www.arriva.co.uk/","Arriva London North Ltd.","http://www.arrivalondon.com/","16 Watsons Road, Wood Green, London, N22 7TZ","WN","Wood Green","Jolly Butchers Hill, High Road, Wood Green, London, N22 7TZ","29 141 144 184 221 W3 ","N29 ","184 617 ","","138","WN","1.71%"
"Arriva","http://www.arriva.co.uk/","Arriva London South Ltd.","http://www.arrivalondon.com/","Bus Garage, Brighton Road, Croydon, CR2 6EL","BN","Brixton","39 Streatham Hill, London, SW2 4TB<br>Outstation (rtes 59/319): Brixton Hill, SW2","50 59 137 319 ","","","","91","BN","1.13%"
"Arriva","http://www.arriva.co.uk/","Arriva London South Ltd.","http://www.arrivalondon.com/","Bus Garage, Brighton Road, Croydon, CR2 6EL","TC","Croydon","Brighton Road, Croydon, Surrey, CR2 6EL","60 166 194 197 264 312 403 412 466 ","264 ","405 612 627 685 ","","113","TC","1.40%"
"Arriva","http://www.arriva.co.uk/","Arriva London South Ltd.","http://www.arrivalondon.com/","Bus Garage, Brighton Road, Croydon, CR2 6EL","N","Norwood","Ernest Avenue, West Norwood, London, SE27 0HN","2 133 176 417 ","N2 N133 N137 176 ","690 ","","98","N","1.22%"
"Arriva","http://www.arriva.co.uk/","Arriva London South Ltd.","http://www.arrivalondon.com/","Bus Garage, Brighton Road, Croydon, CR2 6EL","TH","Thornton Heath","719 London Road, Thornton Heath, CR7 6AU","198 250 255 289 410 450 ","250 ","663 689 ","","90","TH","1.12%"
"Arriva","http://www.arriva.co.uk/","Arriva Southern Counties","http://www.arrivabus.co.uk/south-east/","Invicta House, Armstrong Road, Maidstone, Kent, ME15 6TY","ME","Maidstone","","","","","","0","","0.00%"
"Arriva","http://www.arriva.co.uk/","Arriva Southern Counties","http://www.arrivabus.co.uk/south-east/","Invicta House, Armstrong Road, Maidstone, Kent, ME15 6TY","TW","Tunbridge Wells","St John's Road, Tunbridge Wells, Kent","","","","402 ","0","TS","0.00%"
"Arriva","http://www.arriva.co.uk/","Arriva The Shires Ltd.","http://www.arrivabus.co.uk/south-east/","487 Dunstable Road, Luton, Bedfordshire, LU4 8DS","WB","High Wycombe","Lincoln Road, Cressex Business Park, High Wycombe, HP12 3RH","","","","","0","HI","0.00%"
"CT Plus","http://www.hackneyct.org/","CT Plus Ltd","","2 Hertford Road, Dalston, London, N1 5SH","HK","Ash Grove","Mare Street, South Hackney, London, E8","26 153 309 385 388 394 W5 W12 W13 ","N26 ","W13 ","812 ","80","HK","0.99%"
"Ensignbus","http://www.ensignbus.com","Ensign Bus Co Ltd","","Juliette Close, Purfleet Industrial Park, Aveley, South Ockendon, RM15 4YF","PT","Purfleet","Juliette Close, Purfleet Industrial Park, Aveley, South Ockendon, RM15 4YF","","","","X80 X81 ","0","","0.00%"
